4
1 1 1 1
322 sawtooth
-7 0.125 1
-7 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

-9 0.125 1
-9 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

-10 0.125 1
-10 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

-11 0.125 1
-11 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

-7 0.125 1
-7 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

-9 0.125 1
-9 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

-10 0.125 1
-10 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

-10 0.125 1
-10 0.125 1
5 0.25 1
0 0.25 1
0 0.125 0
-1 0.125 1
0 0.125 0
-2 0.125 1
0 0.125 0
-4 0.25 1
-7 0.125 1
-4 0.125 1
-2 0.125 1

5 0.125 1
5 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
8 0.125 1
10 0.125 1

3 0.125 1
3 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
8 0.125 1
10 0.125 1

2 0.125 1
2 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
8 0.125 1
10 0.125 1

1 0.125 1
1 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
8 0.125 1
10 0.125 1

5 0.125 1
5 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
8 0.125 1
10 0.125 1

3 0.125 1
3 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
8 0.125 1
10 0.125 1

2 0.125 1
2 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
